 AOU_Code,step,run,result,select,all_sca,
BLBW,9,yes,BLBW_step2_output_2025_11_11run4_allsca3.rds,BLBW_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,,
BRCR,9,yes,BRCR_step2_output_2025_11_11run4_allsca2.rds,BRCR_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,,
BTBW,9,yes,BTBW_step2_output_2025_11_11run4_allsca2.rds,BTBW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,,
BTNW,9,yes,BTNW_step2_output_2025_11_11run4_allsca1.rds,BTNW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,,
DOWO,9,yes,DOWO_step2_output_2025_11_11run1_allsca3.rds,DOWO_step1_output_2025_09_27run1_3_7_SCA_SEL_PARS,,
HAWO,9,yes,HAWO_step2_output_2025_11_11run1_allsca1.rds,HAWO_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,,
HETH,9,no,,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,,
OVEN,9,yes,OVEN_step2_output_2025_11_12run1_allsca3.rds,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS,,
REVI,9,yes,REVI_step2_output_2025_11_12run1_allsca3.rds,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS,,
SCTA,9,yes,SCTA_step2_output_2025_11_12run1_allsca3.rds,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,,
VEER,9,yes,VEER_step2_output_2025_11_12run1_allsca3.rds,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,,
WBNU,9,yes,WBNU_step2_output_2025_11_12run1_allsca3.rds,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,,
WOTH,9,yes,WOTH_step2_output_2025_11_12run1_allsca3.rds,WOTH_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,,
YBSA,9,yes,YBSA_step2_output_2025_11_12run1_allsca1.rds,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS,,
